make,model,year,mileage,body_type,transmission,fuel_type,drivetrain,engine_cylinders,engine_volume,color,price
AUDI,A6,2014,279722,Sedan,Automatic,Petrol,4x4,4.0,2.0,Black,18817
NISSAN,Tiida,2010,132540,Hatchback,Automatic,Petrol,Front,4.0,1.8,Sky blue,7840
HYUNDAI,H1,2014,110483,Minivan,Automatic,Diesel,Front,4.0,2.5,Yellow,35736
HYUNDAI,H1,2008,246122,Universal,Automatic,Diesel,Front,4.0,2.5,Silver,16480
HONDA,FIT,2003,0,Hatchback,Automatic,Petrol,Front,4.0,1.3,Red,30
HYUNDAI,H1,2011,45984,Minivan,Automatic,Diesel,Front,4.0,2.5,White,16778
HYUNDAI,Elantra,2011,132742,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,19121
LEXUS,RX 450,2013,361603,Jeep,Automatic,Hybrid,Front,6.0,3.5,Black,941
HYUNDAI,Sonata,2010,154847,Sedan,Automatic,Petrol,Front,4.0,2.0,White,14715
TOYOTA,Aqua,2013,69000,Hatchback,Automatic,Petrol,Front,4.0,1.5,Grey,18117
HONDA,FIT,2016,31869,Sedan,Automatic,Petrol,Front,4.0,1.5,Black,862
FORD,Fusion TITANIUM,2015,77431,Sedan,Tiptronic,Petrol,Front,4.0,2.0,Grey,23521
CHEVROLET,Captiva,2014,83924,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,28589
NISSAN,X-Trail,2005,137453,Jeep,Automatic,Petrol,4x4,4.0,2.0,White,11917
MITSUBISHI,Outlander,2013,103112,Jeep,Automatic,Petrol,Front,4.0,2.0,Silver,2979
FIAT,500 Sport,2012,128000,Coupe,Tiptronic,Petrol,Front,4.0,1.4,White,10349
VOLKSWAGEN,Golf TDI,2014,51742,Hatchback,Manual,Diesel,Front,4.0,2.0,Blue,21796
FORD,Focus,2014,103318,Hatchback,Automatic,Petrol,Front,4.0,2.0,Silver,12544
TOYOTA,Prius,2013,103000,Sedan,Automatic,Hybrid,Front,4.0,1.8,Blue,20385
TOYOTA,Camry sport,2014,140000,Sedan,Automatic,Petrol,Front,4.0,2.5,Grey,21012
FORD,C-MAX,2013,111467,Hatchback,Tiptronic,Hybrid,Front,4.0,2.0,Black,16935
HYUNDAI,Elantra,2014,68800,Hatchback,Tiptronic,Petrol,Front,8.0,1.8,Red,17876
TOYOTA,Highlander,2010,132603,Jeep,Tiptronic,Hybrid,4x4,4.0,3.3,White,24618
HYUNDAI,Tucson,2012,180491,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,22947
MAZDA,Demio evropuli,2003,185000,Hatchback,Manual,CNG,Front,4.0,1.4,Blue,7213
TOYOTA,Land Cruiser,2018,13000,Jeep,Automatic,Diesel,4x4,12.0,4.7,White,172486
MAZDA,Mazda 6 TOURING,2017,75492,Sedan,Automatic,Petrol,Front,4.0,2.5,Red,21012
MERCEDES-BENZ,Vito,1998,300000,Minivan,Manual,CNG,Front,4.0,2.3,Silver,8000
TOYOTA,Tacoma,2014,0,Sedan,Automatic,Petrol,Rear,6.0,4.0,Silver,6586
TOYOTA,Prius,2008,361600,Hatchback,Variator,Hybrid,Front,4.0,1.5,White,14426
FIAT,500 Abarth,2013,142000,Coupe,Manual,Petrol,Front,4.0,1.4,White,18000
HYUNDAI,Tucson,2016,149329,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,37229
HYUNDAI,Elantra,2011,161518,Sedan,Automatic,Petrol,Front,4.0,1.6,White,18240
TOYOTA,Camry,2019,56834,Jeep,Automatic,Hybrid,Front,4.0,2.5,Black,251
TOYOTA,Camry,2014,179381,Sedan,Automatic,Hybrid,Front,4.0,2.5,Black,11133
TOYOTA,Aqua,2012,193000,Hatchback,Variator,Hybrid,Front,4.0,1.5,Yellow,15994
HYUNDAI,Tucson,2012,192534,Jeep,Automatic,Diesel,Front,4.0,2.0,White,19456
BMW,X3,2013,200000,Jeep,Tiptronic,Petrol,4x4,4.0,2.0,Brown,37633
MERCEDES-BENZ,Sprinter,2009,30000,Microbus,Tiptronic,Diesel,Rear,6.0,3.0,White,47042
HYUNDAI,Sonata,2012,131000,Sedan,Tiptronic,Hybrid,Front,4.0,2.4,Black,17876
MERCEDES-BENZ,CLS 550 550,2010,150121,Sedan,Tiptronic,Petrol,Rear,8.0,5.5,Black,18503
OPEL,Astra,1998,230000,Goods wagon,Manual,Petrol,Front,4.0,1.6,Blue,7840
HYUNDAI,Sonata,2017,227911,Sedan,Automatic,LPG,Front,4.0,2.0,White,16935
TOYOTA,Highlander,2010,300366,Jeep,Automatic,Hybrid,4x4,6.0,3.3,Blue,14269
NISSAN,Juke,2013,312118,Jeep,Automatic,Petrol,Front,4.0,1.6,Black,6272
MERCEDES-BENZ,E 350,2011,230696,Sedan,Automatic,Diesel,4x4,6.0,3.5,Black,627
CHEVROLET,Equinox LT,2017,31006,Jeep,Automatic,Petrol,Front,4.0,1.5,Blue,26657
CHEVROLET,Cruze,2013,210000,Sedan,Tiptronic,Petrol,Front,4.0,1.4,Silver,14113
HYUNDAI,Santa FE,2019,46264,Sedan,Automatic,Petrol,Front,4.0,2.4,Grey,8781
TOYOTA,Aqua,2013,125000,Hatchback,Automatic,Petrol,Front,4.0,1.5,White,13184
MERCEDES-BENZ,E 350,2009,109139,Sedan,Automatic,Diesel,Rear,6.0,3.5,Black,5018
CHEVROLET,Impala,2016,73148,Sedan,Automatic,Petrol,Front,4.0,2.5,Silver,49058
VOLKSWAGEN,Passat,2012,2012,Sedan,Tiptronic,Petrol,Front,4.0,2.5,Grey,15681
NISSAN,Juke,2013,108765,Jeep,Automatic,Petrol,4x4,4.0,1.6,Blue,470
FORD,Taurus,1998,160000,Sedan,Automatic,CNG,Front,6.0,3.0,Golden,3200
HYUNDAI,Sonata,2013,68000,Sedan,Tiptronic,Petrol,Front,4.0,2.0,Blue,18817
LEXUS,GX 470,2015,273493,Jeep,Automatic,Petrol,4x4,8.0,4.6,Silver,61154
HYUNDAI,Elantra,2018,20388,Sedan,Automatic,Petrol,Front,4.0,1.6,White,37066
OPEL,Vectra,2000,210000,Jeep,Manual,Petrol,Front,6.0,1.8,Black,5959
TOYOTA,Aqua,2014,11800,Hatchback,Automatic,Hybrid,Front,4.0,1.5,White,15053
TOYOTA,Corolla,2006,162000,Sedan,Automatic,Diesel,Front,4.0,1.4,Grey,11917
TOYOTA,Aqua,2014,35800,Hatchback,Automatic,Petrol,Front,4.0,1.5,Silver,18422
JEEP,Cherokee,2015,168000,Jeep,Tiptronic,Petrol,Front,4.0,2.4,Grey,28852
HONDA,FIT,2004,11111,Hatchback,Automatic,Petrol,Front,2.0,1.3,White,3000
CHEVROLET,Spark,2014,95100,Hatchback,Automatic,Petrol,Front,4.0,1.0,Grey,10697
TOYOTA,Prius C,2012,107000,Hatchback,Automatic,Hybrid,Front,4.0,1.5,Red,16935
MERCEDES-BENZ,C 230,2002,157000,Coupe,Tiptronic,Petrol,Rear,4.0,2.3,Silver,7213
LINCOLN,Navigator,1998,116800,Jeep,Automatic,CNG,4x4,8.0,5.4,White,14740
SSANGYONG,REXTON,2011,148427,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,20171
HYUNDAI,Tucson,2011,126320,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,26149
CHEVROLET,Cruze LT,2016,77000,Sedan,Tiptronic,Petrol,Front,4.0,1.4,White,14113
VOLKSWAGEN,Jetta,2014,65600,Sedan,Automatic,Petrol,Front,4.0,1.8,Black,18189
SSANGYONG,Korando,2014,128619,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,21031
MAZDA,CX-9,2012,291840,Sedan,Automatic,Petrol,Front,6.0,3.7,Black,31
MITSUBISHI,Outlander SE,2017,41681,Jeep,Automatic,Petrol,Front,4.0,2.0,Blue,21169
MERCEDES-BENZ,E 270 AVANGARDI,2002,248000,Sedan,Tiptronic,Diesel,Rear,5.0,2.7,Black,16308
TOYOTA,Highlander,2008,2005,Jeep,Automatic,Hybrid,4x4,6.0,3.3,Silver,29793
HYUNDAI,Accent,2019,14587,Sedan,Automatic,Hybrid,Front,4.0,1.6,Black,314
CHEVROLET,Cruze,2012,126000,Sedan,Automatic,Petrol,Front,4.0,1.8,White,13877
LEXUS,GS 350,2008,132500,Sedan,Tiptronic,Petrol,Rear,6.0,3.5,Grey,25086
NISSAN,Wingroad,2003,0,Goods wagon,Tiptronic,Petrol,Front,6.0,2.5,Silver,5959
VOLKSWAGEN,Passat R-line,2016,48935,Sedan,Automatic,Petrol,Front,4.0,1.8,White,24462
LEXUS,GX 470,2011,202048,Sedan,Automatic,Petrol,4x4,8.0,4.6,White,392
BMW,X5 e53,2004,320000,Jeep,Automatic,Petrol,4x4,6.0,3.0,Golden,14740
CHEVROLET,Cruze,2018,39466,Sedan,Automatic,Petrol,Front,4.0,1.4,Black,941
TOYOTA,Camry XLE,2015,0,Sedan,Automatic,Hybrid,Front,4.0,2.5,Black,40769
SSANGYONG,REXTON,2013,105909,Jeep,Automatic,Diesel,Front,4.0,2.0,White,42692
BMW,X5,2015,110400,Jeep,Tiptronic,Petrol,4x4,6.0,3.0,White,51746
LEXUS,RX 350,2011,259232,Jeep,Automatic,Petrol,4x4,6.0,3.5,Silver,1333
MAZDA,Eunos 500,2010,191110,Hatchback,Automatic,Petrol,Front,4.0,2.3,Black,1333
TOYOTA,Prius,2010,210000,Hatchback,Variator,Hybrid,Front,4.0,1.8,White,14269
TOYOTA,Camry SE,2018,24382,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,42808
HYUNDAI,H1,2016,124708,Universal,Automatic,Diesel,Front,4.0,2.5,Grey,44517
CHRYSLER,Pacifica,2017,31090,Sedan,Automatic,Petrol,Front,6.0,3.6,Grey,6586
FIAT,Doblo,2001,266000,Goods wagon,Manual,Diesel,Front,4.0,1.9,Carnelian red,8154
SSANGYONG,Actyon,2017,53811,Jeep,Automatic,Petrol,Front,4.0,1.6,Grey,41811
HONDA,Insight,2009,155000,Hatchback,Tiptronic,Hybrid,Front,4.0,1.3,Silver,8467
BMW,335,2007,1000,Sedan,Automatic,Petrol,Rear,6.0,3.0,Silver,5300
MERCEDES-BENZ,E 350,2012,98310,Sedan,Automatic,Petrol,4x4,6.0,3.5,Black,470
TOYOTA,Prius,2007,318400,Sedan,Automatic,Hybrid,Front,4.0,1.5,Sky blue,11917
TOYOTA,Corolla,2016,131000,Sedan,Automatic,Petrol,Front,4.0,1.8,Grey,21639
TOYOTA,Highlander,2010,264877,Jeep,Automatic,Hybrid,4x4,6.0,3.3,White,5645
AUDI,A5,2012,171946,Coupe,Automatic,Petrol,4x4,4.0,2.0,Black,392
BMW,740,2011,154000,Sedan,Tiptronic,Petrol,Rear,6.0,3.0,Black,26657
LEXUS,GX 460,2015,188078,Jeep,Automatic,Petrol,4x4,8.0,4.6,Black,5018
TOYOTA,Camry,2012,159379,Sedan,Automatic,Hybrid,Front,4.0,2.5,White,3136
AUDI,Allroad,2013,117000,Universal,Tiptronic,Petrol,4x4,4.0,2.0,Black,38260
HYUNDAI,Sonata,2015,278223,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,10663
MAZDA,CX-9,2012,291840,Sedan,Automatic,Petrol,Front,6.0,3.7,Black,31
HYUNDAI,Tucson,2011,151186,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,26475
SSANGYONG,REXTON,2009,170347,Jeep,Automatic,Diesel,Front,4.0,2.7,Black,19707
AUDI,A7,2014,191373,Hatchback,Automatic,Petrol,4x4,6.0,3.0,Grey,9565
NISSAN,X-Terra,2012,203200,Jeep,Tiptronic,Petrol,4x4,6.0,4.0,Grey,23521
TOYOTA,Aqua,2014,122000,Hatchback,Automatic,Hybrid,Front,4.0,1.5,White,8000
MERCEDES-BENZ,E 350 212,2010,135000,Sedan,Tiptronic,Petrol,Rear,6.0,3.5,Blue,21639
LAND ROVER,Freelander,2004,150000,Jeep,Manual,Petrol,Front,4.0,2.0,Silver,6586
PORSCHE,Panamera S,2012,90000,Sedan,Tiptronic,Petrol,Rear,8.0,4.8,Black,76835
HONDA,FIT,2002,260000,Sedan,Automatic,Petrol,Front,4.0,1.3,Red,5645
HYUNDAI,Santa FE,2013,128919,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,38894
SSANGYONG,REXTON,2013,92728,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,35043
HYUNDAI,Elantra,2018,61795,Sedan,Automatic,Petrol,Front,4.0,2.0,Blue,1568
MERCEDES-BENZ,E 350,2014,95987,Sedan,Automatic,Diesel,4x4,6.0,3.5,Black,220
FORD,Fusion,2014,133260,Sedan,Automatic,Petrol,Front,4.0,1.5,Silver,13485
HYUNDAI,Elantra,2011,68771,Sedan,Tiptronic,Petrol,Front,4.0,1.8,Black,17876
TOYOTA,Camry,2012,113000,Sedan,Tiptronic,Petrol,Front,4.0,2.5,Black,23521
TOYOTA,Prius C,2012,91400,Hatchback,Variator,Hybrid,Front,4.0,1.5,Silver,16935
SSANGYONG,REXTON,2014,37546,Jeep,Automatic,Diesel,Front,4.0,2.0,White,44752
MITSUBISHI,Colt,2005,157000,Hatchback,Tiptronic,Petrol,Front,4.0,1.5,Silver,8781
LEXUS,RX 450,2016,0,Jeep,Automatic,Hybrid,Front,6.0,3.5,Grey,34811
VOLKSWAGEN,Jetta,2003,228000,Sedan,Manual,Petrol,Front,4.0,1.8,Black,5488
JAGUAR,XJ,1999,1000,Sedan,Tiptronic,Petrol,4x4,8.0,4.0,Green,19200
SUBARU,Forester SH,2011,420800,Jeep,Tiptronic,Petrol,4x4,4.0,2.5,Black,7527
TOYOTA,Camry,2018,35058,Sedan,Automatic,Hybrid,Front,4.0,2.5,White,18817
TOYOTA,CHR,2018,16213,Jeep,Automatic,Petrol,Front,4.0,2.0,Grey,2587
TOYOTA,CHR,2019,24339,Jeep,Automatic,Petrol,Front,4.0,2.0,Blue,627
MERCEDES-BENZ,E 320,2002,12000,Sedan,Tiptronic,Petrol,Rear,6.0,3.2,Black,7840
SUBARU,Forester,2003,18000,Universal,Tiptronic,Petrol,4x4,4.0,2.0,White,7213
SUZUKI,Grand Vitara,2005,180000,Jeep,Automatic,Petrol,4x4,6.0,2.7,Carnelian red,13485
HYUNDAI,H1,2016,110189,Minivan,Automatic,Diesel,Front,4.0,2.5,Silver,41387
OPEL,Astra,1994,1111,Sedan,Manual,Petrol,Front,4.0,1.4,Green,3000
CHEVROLET,Aveo,2013,71000,Hatchback,Automatic,Petrol,Front,4.0,1.6,Blue,11704
OPEL,Combo,2008,205000,Sedan,Manual,CNG,Front,4.0,1.6,Silver,10976
HYUNDAI,Genesis,2011,160000,Coupe,Automatic,Petrol,Front,4.0,2.0,Black,18124
HYUNDAI,Santa FE,2015,117000,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,46919
HYUNDAI,Sonata,2012,246230,Sedan,Automatic,Petrol,Front,4.0,2.4,Black,1568
FORD,Fiesta,2013,37000,Sedan,Automatic,Petrol,Front,4.0,1.6,White,14900
SSANGYONG,Korando,2011,99895,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,22545
MITSUBISHI,Outlander Sport,2017,21000,Jeep,Variator,Petrol,4x4,4.0,2.0,Brown,32929
CHEVROLET,Captiva,2014,195069,Jeep,Automatic,Petrol,Front,4.0,2.4,White,862
FORD,Mustang,2012,92000,Coupe,Manual,Petrol,Rear,6.0,3.7,Blue,26343
LEXUS,GX 460,2015,188078,Jeep,Automatic,Petrol,4x4,8.0,4.6,Black,941
NISSAN,Serena Serea,2005,46702,Minivan,Variator,Petrol,Front,4.0,2.0,Sky blue,348
HYUNDAI,Sonata,2015,272769,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,15053
CHEVROLET,Malibu,2011,205307,Sedan,Automatic,Petrol,Front,4.0,2.4,White,314
OPEL,Vectra B,2001,441000,Universal,Manual,Diesel,Front,4.0,2.0,Black,5645
VOLKSWAGEN,Caddy,1997,194000,Goods wagon,Manual,Diesel,Front,4.0,1.9,Blue,4077
TOYOTA,Vitz,2007,11111,Sedan,Automatic,Petrol,Front,3.0,1.0,Silver,10036
MERCEDES-BENZ,E 55,2012,104000,Coupe,Tiptronic,Petrol,Rear,8.0,5.5,Black,180
BMW,X5,2014,110715,Jeep,Automatic,Diesel,4x4,6.0,3.0,White,16621
NISSAN,Micra,1997,2888,Sedan,Manual,CNG,Front,4.0,1.0,Black,7840
HYUNDAI,Sonata,2015,620755,Sedan,Automatic,LPG,Front,4.0,2.0,White,10976
CHEVROLET,Volt,2014,131893,Hatchback,Automatic,Hybrid,Front,4.0,1.4,Brown,314
CHEVROLET,Cruze,2012,80497,Sedan,Automatic,Petrol,Front,4.0,1.8,Grey,16041
MAZDA,MPV,2004,150783,Minivan,Automatic,LPG,Front,4.0,2.3,Silver,7840
HYUNDAI,Sonata,2012,289920,Sedan,Automatic,Petrol,Front,4.0,2.4,Red,862
TOYOTA,Aqua,2013,240000,Hatchback,Variator,Hybrid,Front,4.0,1.3,Silver,35
TOYOTA,Vitz,2011,203000,Hatchback,Variator,Petrol,4x4,4.0,1.3,Blue,8000
OPEL,Zafira,2006,350000,Minivan,Manual,CNG,Front,4.0,1.6,White,10300
MINI,Cooper S Cabrio,2016,59408,Hatchback,Automatic,Petrol,Front,4.0,2.0,Black,314
MERCEDES-BENZ,S 63 AMG,2015,73600,Sedan,Tiptronic,Petrol,Rear,8.0,5.5,Black,172486
HONDA,Civic,2015,49272,Sedan,Automatic,Hybrid,Front,4.0,1.5,Blue,4861
KIA,Sportage,2011,47232,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,17405
MERCEDES-BENZ,E 230,1997,105000,Sedan,Automatic,Petrol,Rear,4.0,2.3,Silver,3763
HYUNDAI,Accent,2016,43840,Sedan,Automatic,Diesel,Front,4.0,1.6,White,16891
HYUNDAI,H1,2014,140000,Minivan,Automatic,Diesel,Front,4.0,2.5,Silver,32910
KIA,Optima,2012,100000,Sedan,Automatic,Hybrid,Front,4.0,2.4,Black,20071
FORD,Transit S,2004,239000,Microbus,Manual,Diesel,Rear,4.0,2.0,White,21169
SUBARU,Legacy,2002,188645,Universal,Automatic,CNG,4x4,4.0,2.0,Silver,6899
HYUNDAI,Sonata,2016,51000,Sedan,Tiptronic,Petrol,Front,4.0,2.4,Black,25716
MERCEDES-BENZ,C 63 AMG,2011,73000,Sedan,Tiptronic,Petrol,Rear,8.0,6.3,Red,109764
LEXUS,IS 350,2011,259066,Sedan,Automatic,Petrol,4x4,6.0,3.5,Silver,8154
HONDA,Civic,2016,42378,Sedan,Automatic,Petrol,Front,4.0,2.0,White,51272
CHEVROLET,Cruze,2015,144000,Sedan,Tiptronic,Petrol,Front,4.0,1.4,White,16621
HYUNDAI,Elantra,2009,143091,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,13771
FORD,C-MAX HYBRID,2013,125000,Hatchback,Automatic,Hybrid,Front,4.0,2.0,Grey,21639
FORD,Fusion,2013,218400,Sedan,Automatic,Hybrid,Front,4.0,2.0,Black,17562
LEXUS,RX 450,2013,138038,Jeep,Automatic,Hybrid,Front,6.0,3.5,White,1019
LEXUS,ES 300,2015,98032,Sedan,Automatic,Hybrid,Front,4.0,2.5,Black,10192
MERCEDES-BENZ,E 350,2011,170429,Coupe,Automatic,Diesel,Rear,6.0,3.5,Silver,15994
BMW,435 CUPE,2014,56000,Coupe,Tiptronic,Petrol,Rear,6.0,3.0,Grey,64290
NISSAN,Juke,2013,166013,Jeep,Automatic,Petrol,Front,4.0,1.6,White,2901
CHEVROLET,Traverse,2011,248954,Jeep,Automatic,Petrol,Front,6.0,3.6,Silver,549
CHEVROLET,Cruze,2015,100000,Sedan,Tiptronic,Petrol,Front,4.0,1.4,White,17562
VOLKSWAGEN,Passat,2012,188485,Sedan,Tiptronic,Petrol,Front,4.0,2.5,Silver,8467
TOYOTA,Prius,2006,27500,Hatchback,Automatic,Hybrid,Front,4.0,1.7,White,10036
MERCEDES-BENZ,E 350,2005,26600,Sedan,Tiptronic,LPG,4x4,6.0,3.5,Grey,14113
MERCEDES-BENZ,ML 500,2006,216000,Jeep,Tiptronic,Petrol,4x4,8.0,5.0,Silver,24462
LEXUS,HS 250h,2010,156000,Sedan,Tiptronic,Hybrid,Front,4.0,2.4,Black,11760
MERCEDES-BENZ,G 55 AMG,2003,137500,Jeep,Automatic,Petrol,4x4,8.0,5.5,Silver,87811
LEXUS,GX 470,2013,202651,Jeep,Automatic,Petrol,4x4,8.0,4.6,Black,54568
CHEVROLET,Captiva,2011,70479,Jeep,Automatic,Diesel,Front,4.0,2.2,Grey,18189
CHEVROLET,Captiva,2015,101537,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,27174
VOLKSWAGEN,Passat,2012,109000,Sedan,Tiptronic,Petrol,Front,5.0,2.5,Black,17240
CHEVROLET,Orlando,2012,129760,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,22649
TOYOTA,Prius,2010,312000,Sedan,Variator,Hybrid,Front,4.0,1.8,Black,14113
CHEVROLET,Cruze,2017,46800,Sedan,Automatic,Petrol,Front,4.0,1.4,Black,22894
MERCEDES-BENZ,ML 270,2000,335000,Jeep,Tiptronic,Diesel,4x4,5.0,2.7,Silver,11290
CHEVROLET,Cruze,2018,41822,Sedan,Automatic,Petrol,Front,4.0,1.4,Grey,4704
CHEVROLET,Captiva,2016,54472,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,38445
LEXUS,LX 470,1998,404800,Jeep,Automatic,Petrol,4x4,8.0,4.7,Black,19757
VAZ,2107,1999,10000,Sedan,Manual,Petrol,4x4,9.0,1.6,White,2800
FORD,Focus,2014,8640,Sedan,Automatic,Petrol,4x4,4.0,2.0,Silver,13799
MERCEDES-BENZ,CLK 200 Kompressor,2000,189622,Coupe,Manual,Petrol,Rear,4.0,2.0,Silver,8938
TOYOTA,Camry,2015,210450,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,470
FORD,Focus,2012,200000,Sedan,Automatic,Petrol,Front,4.0,2.0,Silver,15053
MERCEDES-BENZ,C 230,2007,255000,Sedan,Tiptronic,Petrol,Rear,6.0,2.5,Silver,18817
FORD,Fusion,2013,339920,Sedan,Automatic,Hybrid,Front,4.0,2.0,White,157
HONDA,Elysion,2010,171000,Minivan,Automatic,Petrol,Front,4.0,2.4,Black,12000
HYUNDAI,Sonata,2015,705856,Sedan,Automatic,LPG,Front,4.0,2.0,Orange,9722
TOYOTA,Aqua,2014,138000,Sedan,Automatic,Hybrid,Front,4.0,1.5,White,8900
JEEP,Grand Cherokee,1994,335000,Jeep,Automatic,Petrol,4x4,6.0,4.0,Green,9408
MERCEDES-BENZ,E 550,1999,150000,Sedan,Tiptronic,Petrol,Rear,6.0,3.2,Silver,9408
CHEVROLET,Camaro,2016,81142,Cabriolet,Automatic,Petrol,Front,4.0,6.2,Black,83251
TOYOTA,Camry,2013,136861,Sedan,Automatic,Hybrid,Front,4.0,2.5,Blue,1803
MERCEDES-BENZ,E 350,2014,219030,Sedan,Automatic,Diesel,4x4,6.0,3.5,Black,29793
TOYOTA,RAV 4,2015,60800,Jeep,Tiptronic,Petrol,4x4,4.0,2.5,Grey,40769
TOYOTA,Prius,2015,159000,Hatchback,Automatic,Hybrid,Front,4.0,1.8,White,22266
CHEVROLET,Cruze,2012,52312,Sedan,Automatic,Diesel,Front,4.0,2.0,Black,9408
HYUNDAI,Elantra,2017,110000,Sedan,Automatic,LPG,Front,4.0,1.6,White,23678
HYUNDAI,Sonata,2016,26729,Sedan,Automatic,LPG,Front,4.0,2.0,Grey,20698
VOLKSWAGEN,Caddy,1999,260000,Pickup,Manual,Diesel,Front,4.0,1.9,White,5331
CHEVROLET,Lacetti,2009,119806,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,11704
CHEVROLET,Captiva,2013,132429,Jeep,Automatic,Petrol,Front,4.0,2.4,Silver,1960
MERCEDES-BENZ,C 300,2007,1000,Sedan,Tiptronic,Petrol,Rear,6.0,3.0,White,20385
FORD,Transit 135,2003,193000,Microbus,Manual,Diesel,Rear,4.0,2.4,Yellow,14113
HYUNDAI,Sonata,2011,169765,Sedan,Automatic,Petrol,Front,4.0,2.0,Silver,3607
TOYOTA,Aqua,2014,14486,Hatchback,Automatic,Petrol,Front,4.0,1.5,Silver,24239
HYUNDAI,Elantra,2016,50051,Sedan,Automatic,Diesel,Front,4.0,1.6,Grey,20491
TOYOTA,Aqua,2013,59000,Hatchback,Automatic,Petrol,Front,4.0,1.5,White,28532
LEXUS,CT 200h,2012,174106,Hatchback,Automatic,Hybrid,Front,4.0,1.8,White,1490
TOYOTA,Aqua,2012,64400,Hatchback,Automatic,Petrol,Front,4.0,1.5,Orange,22197
CHEVROLET,Cruze,2014,126000,Sedan,Automatic,Petrol,Front,4.0,1.4,Beige,10976
HYUNDAI,Tucson,2015,60000,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,37580
TOYOTA,Prius,2011,489584,Jeep,Automatic,Hybrid,Front,4.0,1.8,Grey,5018
NISSAN,Note,2012,181000,Hatchback,Automatic,Petrol,Front,4.0,1.2,White,10663
HYUNDAI,Tucson,2016,121764,Jeep,Automatic,Diesel,Front,4.0,2.0,Blue,50184
SUZUKI,Samurai,1984,100000,Jeep,Manual,CNG,4x4,4.0,1.6,Green,10976
CHEVROLET,Captiva,2014,195691,Jeep,Automatic,Diesel,Front,4.0,2.2,Black,19613
BMW,M5 Japan,2006,97000,Sedan,Manual,Petrol,Rear,10.0,5.0,Blue,45473
VOLKSWAGEN,Golf TDI,2012,130000,Hatchback,Manual,Diesel,Front,4.0,2.0,White,15367
HYUNDAI,Elantra,2017,56378,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,25729
BMW,335,2011,143950,Coupe,Automatic,Petrol,4x4,6.0,3.0,Black,6586
MITSUBISHI,Outlander SPORT,2014,83516,Jeep,Automatic,Petrol,4x4,4.0,2.0,Silver,18660
HYUNDAI,Tucson,2019,32724,Jeep,Automatic,Petrol,Front,4.0,1.6,White,57842
BMW,535,2014,0,Sedan,Automatic,Petrol,Rear,6.0,3.0,Black,3450
HONDA,FIT,2017,69968,Hatchback,Automatic,Petrol,Front,4.0,1.3,Blue,17694
FORD,Transit,2007,0,Microbus,Manual,Diesel,Front,5.0,2.2,White,15053
MERCEDES-BENZ,CLK 320,1999,237000,Coupe,Tiptronic,Petrol,Rear,6.0,3.2,Silver,11290
VOLKSWAGEN,Jetta,2014,213698,Sedan,Automatic,Diesel,Front,4.0,1.8,Black,627
SUBARU,Forester,2012,260133,Jeep,Automatic,Petrol,4x4,4.0,2.5,Silver,4861
VOLKSWAGEN,Caddy,2009,238000,Goods wagon,Manual,Diesel,Front,4.0,2.0,White,10017
LEXUS,NX 200,2017,54120,Jeep,Automatic,Petrol,4x4,4.0,2.0,Grey,31988
HYUNDAI,Tucson,2016,101248,Jeep,Automatic,Diesel,Front,4.0,1.7,Grey,34406
LAND ROVER,Land Rover Sport,2015,90000,Jeep,Tiptronic,Diesel,4x4,6.0,3.0,Black,141124
BMW,750,2013,87243,Sedan,Automatic,Petrol,Rear,8.0,4.4,Blue,392
TOYOTA,Caldina,2003,112000,Universal,Automatic,Petrol,Front,4.0,2.0,Silver,8154
HYUNDAI,Tucson,2010,180000,Jeep,Tiptronic,Petrol,4x4,4.0,2.4,White,29793
TOYOTA,Prius,2010,196121,Hatchback,Automatic,Hybrid,Front,4.0,1.8,White,14113
HYUNDAI,Tucson,2016,27243,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,29633
LEXUS,GX 470,2011,202048,Sedan,Automatic,Petrol,4x4,8.0,4.6,White,392
TOYOTA,Aqua s,2014,133000,Sedan,Automatic,Hybrid,Front,4.0,1.5,Silver,11447
